module_code,student_id,feedback_text,timestamp
CM3045,1,Engaging case studies ,2024-02-20T0:00:00
CM3045,2,"I enjoyed the class a lot, it was very engaging.",2024-02-20T0:00:00
CM3045,3,I found it difficult to keep up with the lesson materials...,2024-02-20T0:00:00
CM3045,4,"I started off without knowing how to say hi, but now I do. The teacher helped me tremendously!",2024-02-20T0:00:00
CM3045,5,It was difficult to run Unity on my machine,2024-02-22T0:00:00
CM3045,6,The learning materials were too wordy and not concised enough,2024-01-22T0:00:00
CM3045,7,Lecturer was engaging and I had a fun time sitting through the video lectures,2024-02-15T0:00:00
CM3035,8,Lessons helped me gain confidence and now I feel I can start saying hi,2024-01-21T0:00:00
CM3035,9,AI feels like a daunting module but lecturer was able to breakdown concepts for me to understand fast,2024-01-15T0:00:00
CM3005,10,Finally understood how I can use RESTAPI for my future projects,2024-02-25T0:00:00
CM3005,11,Lectures was too fast and I cannot keep up,2024-02-05T0:00:00
CM3005,12,Case study used help me understand the topic better,2024-01-28T0:00:00
CM3035,13,Lecture was too slow and boring,2024-02-10T0:00:00
CM3010,1,I can now talk with confidence,2024-02-20T0:00:00
CM3010,1,I struggle with Power BI and I don't think I am getting enough support,2024-01-20T0:00:00
CM3010,1,Really engaging case study,2024-01-25T0:00:00
CM3010,1,Finally understood how important FinTech role is in the world today,2024-02-22T0:00:00
